LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-02-28 09:19:31,1900-01-00 00:00:00,,D4:01:C3:DB:66:A6,-71, ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:31,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:31,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:31,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:31,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-69,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:31,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-69,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:31,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-68,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:31,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:31,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-69,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-63,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-70,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-63,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-68,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-68,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-68,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-68,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-69,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-70,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-69,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-70,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-70,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,0,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-70,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:32,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-63,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-72,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-63,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-68,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-63, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-66,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:33,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:34,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,,FA:8B:02:83:58:56,-67,,0.000000,0.000000,0.000,0.000,Client
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:35,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-02-28 09:19:36,1900-01-00 00:00:00,REAGAN,D4:01:C3:DB:66:A6,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
